@relation QoSAndQoECorrelation

@attribute VideoFrameRate numeric
@attribute NR numeric
@attribute QP numeric
@attribute VideoPacketLossRate numeric
@attribute AudioPacketLossRate numeric
@attribute MOS numeric

@data
25,0,23,1.06,1.03,1.94827586207
25,0,23,5.17,4.94,1.23333333333
25,999,23,0.11,0.14,3.7962962963
25,999,23,0.63,0.47,2.7962962963
25,999,23,0.0,0.0,4.51785714286
25,999,23,1.09,0.84,3.62962962963
25,999,23,5.04,5.36,1.23333333333
25,0,27,0.1,0.14,3.35714285714
25,0,27,0.51,0.65,4.14814814815
25,0,27,0.0,0.0,4.375
25,0,27,0.99,1.03,2.67857142857
25,0,27,4.97,4.38,1.36666666667
25,999,27,0.07,0.09,4.43103448276
25,999,27,0.6,0.75,3.25
25,999,27,0.0,0.0,4.39655172414
25,999,27,1.23,0.89,2.11666666667
25,999,27,4.76,5.78,1.24137931034
25,0,31,0.04,0.14,3.62962962963
25,0,31,0.56,0.47,3.69642857143
25,0,31,0.0,0.0,3.96551724138
25,0,31,1.17,1.12,2.89285714286
25,0,31,4.98,4.94,1.48333333333
25,999,31,0.04,0.14,3.71666666667
25,999,31,0.57,0.37,3.57692307692
25,999,31,0.0,0.0,3.62962962963
25,999,31,1.18,0.93,3.58620689655
25,999,31,4.84,4.71,1.35
25,0,35,0.14,0.05,3.22413793103
25,0,35,0.68,0.47,3.25
25,0,35,0.0,0.0,3.1
25,0,35,0.86,0.79,1.91379310345
25,0,35,4.86,3.82,1.41666666667
25,999,35,0.05,0.05,3.2037037037
25,999,35,0.45,0.23,3.3275862069
25,999,35,0.0,0.0,3.125
25,999,35,0.54,0.98,2.98214285714
25,999,35,4.68,4.2,1.6724137931
