GeneralFileSize,GeneralDuration,GeneralOverallBitRate,GeneralFrameRate,GeneralFrameCount,GeneralStreamSize,GeneralStreamSizeProportion,GeneralDataSize,GeneralFooterSize,VideoDuration,VideoSourceDuration,VideoBitRate,VideoFrameRate,VideoFrameCount,VideoBits(Pixel*Frame),VideoStreamSize,VideoStreamSizeProportion,NR,KeyInt,KeyIntMin,QP,AudioDuration,AudioBitRate,AudioFrameCount,AudioStreamSize,AudioStreamSizeProportion,VideoOctetsReceived,VideoPacketsreceived,VideoPacketsLost,VideoPacketLossRate,AudioOctetsReceived,AudioPacketsReceived,AudioPacketsLost,AudioPacketLossRate,MOS
707209,42892,131905,15,644,63860,0.0903,643357,63824,42859,42852,95498,15,644,0.007,512504,0.72469,0,150,15,35,42892,24405,2145,130845,0.18502,507634,1364,0,0.0,132928,2144,0,0.0,3.18965517241
700644,42892,130681,15,637,62772,0.08959,637880,62736,42859,42851,95734,15,637,0.007,508186,0.72531,0,150,15,35,42892,24188,2126,129686,0.1851,503392,1345,19,1.39,131750,2125,19,0.89,3.0
657546,42891,122645,15,613,59944,0.09116,597610,59908,42858,42851,92399,15,613,0.007,472003,0.71783,0,150,15,35,42891,23427,2059,125599,0.19101,484985,1304,60,4.4,127596,2058,86,4.01,1.25
699396,42892,130448,15,642,64452,0.09215,634952,64416,42859,42853,94236,15,642,0.007,504160,0.72085,999,150,15,35,42892,24393,2144,130784,0.187,499303,1359,4,0.29,132866,2143,1,0.05,2.79310344828
678145,42891,126487,15,640,63384,0.09347,614769,63348,42857,42851,90849,15,640,0.007,484526,0.71449,999,150,15,35,42891,24291,2135,130235,0.19205,496070,1354,9,0.66,132308,2134,10,0.47,3.05172413793
701226,42892,130789,15,644,64588,0.09211,636646,64552,42858,42851,94247,15,644,0.007,505793,0.7213,999,150,15,35,42892,24405,2145,130845,0.18659,500920,1363,0,0.0,132928,2144,0,0.0,3.2
675300,42893,125951,15,636,63168,0.09354,612140,63132,42795,42789,91051,15,636,0.007,482568,0.7146,999,150,15,35,42893,24165,2124,129564,0.19186,493969,1351,11,0.81,131626,2123,21,0.98,2.85185185185
651753,42892,121562,15,614,59560,0.09138,592201,59524,42858,42851,91406,15,614,0.007,467692,0.71759,999,150,15,35,42892,23221,2041,124501,0.19102,479440,1296,67,4.92,126480,2040,104,4.85,1.45
4439603,42894,828014,20,857,62884,0.01416,4376727,62848,42894,42885,792741,20,857,0.043,4246118,0.95642,0,200,20,23,42892,24359,2141,130601,0.02942,4256804,4366,3,0.07,132680,2140,4,0.19,4.46428571429
4384829,42892,817836,20,845,62836,0.01433,4322001,62800,42892,42886,793752,20,845,0.043,4192002,0.95602,0,200,20,23,42892,24245,2131,129991,0.02965,4241242,4347,22,0.5,132060,2130,14,0.65,2.69230769231
4452613,42891,830498,20,859,61804,0.01388,4390817,61768,42891,42883,793474,20,859,0.043,4259964,0.95673,0,200,20,23,42890,24406,2145,130845,0.02939,4259377,4369,0,0.0,132928,2144,0,0.0,4.28571428571
4242656,42893,791300,20,830,61808,0.01457,4180856,61772,42893,42885,780876,20,830,0.042,4050796,0.95478,0,200,20,23,42892,24257,2132,130052,0.03065,4224668,4328,41,0.94,132122,2131,13,0.61,2.37037037037
3387068,42891,631754,20,690,58708,0.01733,3328368,58672,42841,42835,742896,20,690,0.04,3203737,0.94587,0,200,20,23,42891,23245,2043,124623,0.03679,4022708,4135,233,5.33,126604,2042,102,4.76,1.21666666667
3444250,42893,642389,20,856,64664,0.01877,3379594,64628,42893,42884,607276,20,856,0.033,3248924,0.94329,999,200,20,23,42891,24371,2142,130662,0.03794,3321010,3702,3,0.08,132742,2141,3,0.14,4.5
3330345,42891,621174,20,843,64644,0.01941,3265709,64608,42891,42882,595072,20,843,0.032,3135283,0.94143,999,200,20,23,42890,24326,2138,130418,0.03916,3309158,3687,18,0.49,132494,2137,7,0.33,3.39655172414
3520894,42893,656684,20,859,64564,0.01834,3456338,64528,42893,42885,619415,20,859,0.034,3325485,0.9445,999,200,20,23,42892,24405,2145,130845,0.03716,3323570,3705,0,0.0,132928,2144,0,0.0,4.55555555556
3376118,42891,629711,20,837,64496,0.0191,3311630,64460,42891,42885,608162,20,837,0.033,3181448,0.94234,999,200,20,23,42891,24280,2134,130174,0.03856,3295899,3670,35,0.94,132246,2133,11,0.51,2.48275862069
2768809,42892,516424,20,727,60236,0.02176,2708581,60200,42892,42885,568937,20,727,0.031,2585109,0.93365,999,200,20,23,42891,23028,2024,123464,0.04459,3149720,3520,185,4.99,125426,2023,121,5.64,1.38333333333
1934451,42895,360779,20,857,69248,0.0358,1865211,69212,42895,42890,323835,20,857,0.018,1734541,0.89666,0,200,20,27,42895,24369,2142,130662,0.06754,1777534,2612,2,0.08,132742,2141,3,0.14,4.39285714286
1914998,42892,357176,20,848,67864,0.03544,1847142,67828,42891,42887,323955,20,848,0.018,1716960,0.89659,0,200,20,27,42892,24279,2134,130174,0.06798,1770317,2600,14,0.54,132246,2133,11,0.51,2.77083333333
1983022,42893,369855,20,859,67948,0.03426,1915082,67912,42893,42885,332336,20,859,0.018,1784229,0.89975,0,200,20,27,42893,24404,2145,130845,0.06598,1779938,2614,0,0.0,132928,2144,0,0.0,4.18518518519
1895145,42893,353465,20,838,66824,0.03526,1828329,66788,42893,42886,324275,20,838,0.018,1698391,0.89618,0,200,20,27,42892,24234,2130,129930,0.06856,1759693,2584,30,1.15,131998,2129,15,0.7,2.35185185185
1658417,42892,309320,20,789,63844,0.0385,1594581,63808,42892,42887,298064,20,789,0.016,1469828,0.88628,0,200,20,27,42892,23267,2045,124745,0.07522,1702262,2495,119,4.55,126728,2044,100,4.66,1.31034482759
1742809,42893,325052,20,859,67884,0.03895,1674933,67848,42893,42886,287639,20,859,0.016,1544263,0.88608,999,200,20,27,42893,24370,2142,130662,0.07497,1539385,2400,1,0.04,132742,2141,3,0.14,4.28571428571
1733230,42892,323273,20,854,67596,0.039,1665642,67560,42892,42884,287617,20,854,0.016,1535155,0.88572,999,200,20,27,42891,24337,2139,130479,0.07528,1535867,2390,11,0.46,132556,2138,6,0.28,3.08928571429
1743654,42891,325225,20,859,68540,0.03931,1675122,68504,42891,42887,287640,20,859,0.016,1544269,0.88565,999,200,20,27,42891,24405,2145,130845,0.07504,1539387,2401,0,0.0,132928,2144,0,0.0,4.07142857143
1636313,42890,305211,20,849,68388,0.04179,1567933,68352,42890,42883,271046,20,849,0.015,1438239,0.87895,999,200,20,27,42890,24190,2126,129686,0.07926,1527593,2380,21,0.87,131750,2125,19,0.89,3.6724137931
1438694,42892,268338,20,791,64060,0.04453,1374642,64024,42892,42884,252748,20,791,0.014,1249523,0.86851,999,200,20,27,42891,23336,2051,125111,0.08696,1471387,2275,126,5.25,127100,2050,94,4.38,1.23333333333
1161723,42896,216659,20,858,69948,0.06021,1091783,69912,42896,42889,179217,20,858,0.01,961052,0.82726,0,200,20,31,42896,24380,2143,130723,0.11253,954754,1903,1,0.05,132804,2142,2,0.09,3.62068965517
1158347,42892,216049,20,856,68420,0.05907,1089935,68384,42892,42886,179439,20,856,0.01,959997,0.82876,0,200,20,31,42892,24234,2130,129930,0.11217,953731,1895,9,0.47,131998,2129,15,0.7,3.48333333333
1162223,42894,216762,20,859,69428,0.05974,1092803,69392,42894,42888,179176,20,859,0.01,961950,0.82768,0,200,20,31,42893,24404,2145,130845,0.11258,955648,1904,0,0.0,132928,2144,0,0.0,3.68965517241
1123607,42891,209574,20,851,68560,0.06102,1055055,68524,42891,42886,173992,20,851,0.009,925422,0.82362,0,200,20,31,42891,24178,2125,129625,0.11537,948403,1887,17,0.89,131688,2124,20,0.93,3.15517241379
1019018,42894,190053,20,816,65352,0.06413,953674,65316,42894,42886,162426,20,816,0.009,828372,0.81291,0,200,20,31,42893,23369,2054,125294,0.12296,906579,1815,89,4.67,127286,2053,91,4.24,1.53448275862
1111289,42895,207258,20,858,69604,0.06263,1041693,69568,42895,42891,169854,20,858,0.009,910840,0.81962,999,200,20,31,42895,24403,2145,130845,0.11774,904587,1879,3,0.16,132928,2144,0,0.0,3.70689655172
1047449,42893,195360,20,852,69100,0.06597,978357,69064,42893,42887,159339,20,852,0.009,848480,0.81004,999,200,20,31,42893,24222,2129,129869,0.12399,900233,1874,8,0.43,131936,2128,16,0.75,3.37931034483
1113340,42892,207655,20,859,70148,0.06301,1043200,70112,42892,42888,169937,20,859,0.009,912347,0.81947,999,200,20,31,42891,24405,2145,130845,0.11752,905979,1882,0,0.0,132928,2144,0,0.0,3.60714285714
1070645,42891,199696,20,849,68096,0.0636,1002557,68060,42891,42885,164601,20,849,0.009,873412,0.81578,999,200,20,31,42891,24087,2117,129137,0.12062,896372,1864,18,0.96,131192,2116,28,1.31,3.27586206897
972693,42892,181422,20,815,65424,0.06726,907277,65388,42892,42885,153636,20,815,0.008,782585,0.80455,999,200,20,31,42892,23255,2044,124684,0.12818,865188,1795,87,4.62,126666,2043,101,4.71,1.37931034483
781402,42893,145740,20,858,70252,0.08991,711158,70216,42893,42889,108227,20,858,0.006,580366,0.74272,0,200,20,35,42892,24393,2144,130784,0.16737,573781,1791,2,0.11,132866,2143,1,0.05,3.08620689655
777102,42893,144938,20,851,69956,0.09002,707154,69920,42893,42890,108410,20,851,0.006,576606,0.742,0,200,20,35,42892,24348,2140,130540,0.16798,570057,1782,11,0.61,132618,2139,5,0.23,2.40384615385
782277,42893,145903,20,859,70700,0.09038,711585,70664,42893,42886,108169,20,859,0.006,580732,0.74236,0,200,20,35,42893,24404,2145,130845,0.16726,574139,1793,0,0.0,132928,2144,0,0.0,3.15517241379
758698,42893,141505,20,852,69688,0.09185,689018,69652,42893,42886,105003,20,852,0.006,559141,0.73697,0,200,20,35,42893,24222,2129,129869,0.17117,570228,1776,17,0.95,131936,2128,16,0.75,2.73214285714
728176,42893,135813,20,814,65792,0.09035,662392,65756,42893,42889,105714,20,814,0.006,537822,0.73859,0,200,20,35,42893,23232,2042,124562,0.17106,549135,1710,83,4.63,126542,2041,103,4.8,1.38333333333
773573,42892,144283,20,858,70740,0.09145,702841,70704,42892,42885,106676,20,858,0.006,572049,0.73949,999,200,20,35,42892,24393,2144,130784,0.16906,565464,1791,2,0.11,132866,2143,1,0.05,3.21666666667
772005,42894,143984,20,858,69948,0.09061,702065,69912,42894,42890,106645,20,858,0.006,571883,0.74078,999,200,20,35,42894,24278,2134,130174,0.16862,565322,1785,8,0.45,132246,2133,11,0.51,3.10344827586
773680,42892,144303,20,859,70396,0.09099,703292,70360,42892,42885,106624,20,859,0.006,572439,0.73989,999,200,20,35,42891,24405,2145,130845,0.16912,565846,1793,0,0.0,132928,2144,0,0.0,3.14285714286
