GeneralFileName,VideoOctetsReceived,VideoPacketsreceived,VideoPacketsLost,VideoPacketLossRate,AudioOctetsReceived,AudioPacketsReceived,AudioPacketsLost,AudioPacketLossRate
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q31_nr0_plr1_amrwb_m08,948403,1887,17,0.89,131688,2124,20,0.93
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q31_nr0_plr5_amrwb_m08,906579,1815,89,4.67,127286,2053,91,4.24
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q31_nr999_plr0.1_amrwb_m08,904587,1879,3,0.16,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q31_nr999_plr0.5_amrwb_m08,900233,1874,8,0.43,131936,2128,16,0.75
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q31_nr999_plr0_amrwb_m08,905979,1882,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q31_nr999_plr1_amrwb_m08,896372,1864,18,0.96,131192,2116,28,1.31
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q31_nr999_plr5_amrwb_m08,865188,1795,87,4.62,126666,2043,101,4.71
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr0_plr0.1_amrwb_m08,573781,1791,2,0.11,132866,2143,1,0.05
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr0_plr0.5_amrwb_m08,570057,1782,11,0.61,132618,2139,5,0.23
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr0_plr0_amrwb_m08,574139,1793,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr0_plr1_amrwb_m08,570228,1776,17,0.95,131936,2128,16,0.75
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr0_plr5_amrwb_m08,549135,1710,83,4.63,126542,2041,103,4.8
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr999_plr0.1_amrwb_m08,565464,1791,2,0.11,132866,2143,1,0.05
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr999_plr0.5_amrwb_m08,565322,1785,8,0.45,132246,2133,11,0.51
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr999_plr0_amrwb_m08,565846,1793,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr999_plr1_amrwb_m08,559262,1777,16,0.89,131874,2127,17,0.79
ntia_HeadShoulders-Female15_h264_720p_baseline_fps20_q35_nr999_plr5_amrwb_m08,540325,1705,88,4.91,126356,2038,106,4.94
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr0_plr0.1_amrwb_m08,4961722,5180,6,0.12,132866,2143,1,0.05
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr0_plr0.5_amrwb_m08,4941077,5160,26,0.5,132370,2135,9,0.42
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr0_plr0_amrwb_m08,4965892,5186,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr0_plr1_amrwb_m08,4913322,5131,55,1.06,131564,2122,22,1.03
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr0_plr5_amrwb_m08,4696733,4918,268,5.17,126356,2038,106,4.94
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr999_plr0.1_amrwb_m08,3851095,4418,5,0.11,132742,2141,3,0.14
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr999_plr0.5_amrwb_m08,3828091,4395,28,0.63,132308,2134,10,0.47
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr999_plr0_amrwb_m08,3855411,4423,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr999_plr1_amrwb_m08,3805318,4375,48,1.09,131812,2126,18,0.84
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q23_nr999_plr5_amrwb_m08,3674995,4200,223,5.04,125798,2029,115,5.36
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr0_plr0.1_amrwb_m08,2034122,3113,3,0.1,132742,2141,3,0.14
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr0_plr0.5_amrwb_m08,2024947,3100,16,0.51,132060,2130,14,0.65
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr0_plr0_amrwb_m08,2037863,3116,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr0_plr1_amrwb_m08,2018596,3085,31,0.99,131564,2122,22,1.03
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr0_plr5_amrwb_m08,1936213,2961,155,4.97,127100,2050,94,4.38
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr999_plr0.1_amrwb_m08,1754621,2836,2,0.07,132804,2142,2,0.09
